Massa_inicial Massa_final log_T_eff log_L
3.000000 0.625000 3.805000 3.902000
3.000000 0.625000 3.905000 3.901000
3.000000 0.625000 4.006000 3.901000
3.000000 0.625000 4.107000 3.901000
3.000000 0.625000 4.208000 3.901000
3.000000 0.625000 4.310000 3.900000
3.000000 0.625000 4.410000 3.899000
3.000000 0.625000 4.511000 3.897000
3.000000 0.625000 4.612000 3.894000
3.000000 0.625000 4.712000 3.890000
3.000000 0.625000 4.813000 3.882000
3.000000 0.625000 4.913000 3.868000
3.000000 0.625000 5.013000 3.845000
3.000000 0.625000 5.114000 3.797000
3.000000 0.625000 5.202000 3.697000
3.000000 0.625000 5.237000 3.596000
3.000000 0.625000 5.251000 3.491000
3.000000 0.625000 5.253000 3.387000
3.000000 0.625000 5.244000 3.231000
3.000000 0.625000 5.233000 3.123000
3.000000 0.625000 5.215000 2.980000
3.000000 0.625000 5.194000 2.846000
3.000000 0.625000 5.176000 2.731000
3.000000 0.625000 5.143000 2.545000
3.000000 0.625000 5.124000 2.440000
3.000000 0.625000 5.101000 2.316000
3.000000 0.625000 5.081000 2.207000
3.000000 0.625000 5.067000 2.107000
3.000000 0.625000 5.052000 2.006000
3.000000 0.625000 5.036000 1.904000
3.000000 0.625000 5.019000 1.803000
3.000000 0.625000 5.002000 1.703000
3.000000 0.625000 4.985000 1.603000
3.000000 0.625000 4.968000 1.503000
3.000000 0.625000 4.951000 1.403000
3.000000 0.625000 4.933000 1.302000
3.000000 0.625000 4.915000 1.202000
3.000000 0.625000 4.897000 1.102000
3.000000 0.625000 4.878000 1.002000
3.000000 0.625000 4.859000 0.902000
