# M_inicial  M_final  log_T_eff  log_L
1.00000 0.53155 3.58078 3.48847
1.00000 0.53144 3.58198 3.48898
1.00000 0.53133 3.58315 3.48992
1.00000 0.53122 3.58434 3.49074
1.00000 0.53112 3.58557 3.49158
1.00000 0.53102 3.58686 3.49220
1.00000 0.53092 3.58815 3.49310
1.00000 0.53082 3.58947 3.49373
1.00000 0.53073 3.59085 3.49436
1.00000 0.53064 3.59225 3.49496
1.00000 0.53055 3.59365 3.49579
1.00000 0.53046 3.59517 3.49596
1.00000 0.53038 3.59666 3.49674
1.00000 0.53029 3.59841 3.49893
1.00000 0.53021 3.59993 3.49827
1.00000 0.53013 3.60151 3.49844
1.00000 0.53005 3.60326 3.49900
1.00000 0.52998 3.60501 3.49954
1.00000 0.52990 3.60689 3.50008
1.00000 0.52983 3.60892 3.50036
1.00000 0.52976 3.61093 3.50063
1.00000 0.52969 3.61298 3.50121
1.00000 0.52963 3.61499 3.50185
1.00000 0.52956 3.61736 3.50226
1.00000 0.52950 3.61994 3.50272
1.00000 0.52943 3.62240 3.50333
1.00000 0.52937 3.62500 3.50356
1.00000 0.52931 3.62754 3.50414
1.00000 0.52926 3.63024 3.50435
1.00000 0.52920 3.63344 3.50439
1.00000 0.52914 3.63669 3.50498
1.00000 0.52909 3.63991 3.50549
1.00000 0.52904 3.64342 3.50602
1.00000 0.52899 3.64712 3.50649
1.00000 0.52894 3.65084 3.50691
1.00000 0.52889 3.65519 3.50718
1.00000 0.52884 3.65984 3.50707
1.00000 0.52879 3.66456 3.50771
1.00000 0.52875 3.66977 3.50762
1.00000 0.52870 3.67537 3.50805
1.00000 0.52866 3.68181 3.50872
1.00000 0.52862 3.68899 3.50853
1.00000 0.52858 3.69632 3.50897
1.00000 0.52854 3.70519 3.50942
1.00000 0.52850 3.71489 3.50970
1.00000 0.52846 3.72548 3.51008
1.00000 0.52843 3.73790 3.51029
1.00000 0.52839 3.75321 3.51063
1.00000 0.52836 3.77181 3.51022
1.00000 0.52832 3.80119 3.51012
1.00000 0.52829 3.85000 3.51021
1.00000 0.52829 3.86084 3.51028
1.00000 0.52828 3.87169 3.51033
1.00000 0.52828 3.88253 3.51035
1.00000 0.52828 3.89338 3.51036
1.00000 0.52827 3.90422 3.51035
1.00000 0.52827 3.91507 3.51031
1.00000 0.52827 3.92591 3.51032
1.00000 0.52827 3.93676 3.51029
1.00000 0.52826 3.94760 3.51036
1.00000 0.52826 3.95845 3.51038
1.00000 0.52826 3.96929 3.51037
1.00000 0.52826 3.98014 3.51043
1.00000 0.52826 3.99098 3.51042
1.00000 0.52826 4.00183 3.51050
1.00000 0.52826 4.01267 3.51078
1.00000 0.52825 4.02351 3.51022
1.00000 0.52825 4.03436 3.51034
1.00000 0.52825 4.04521 3.51021
1.00000 0.52825 4.05605 3.51024
1.00000 0.52825 4.06689 3.50998
1.00000 0.52825 4.07774 3.51000
1.00000 0.52825 4.08858 3.51011
1.00000 0.52825 4.09943 3.51021
1.00000 0.52825 4.11027 3.51030
1.00000 0.52825 4.12112 3.51040
1.00000 0.52825 4.13196 3.51073
1.00000 0.52824 4.14281 3.51036
1.00000 0.52824 4.15365 3.51046
1.00000 0.52824 4.16450 3.51068
1.00000 0.52824 4.17534 3.51026
1.00000 0.52824 4.18619 3.51035
1.00000 0.52824 4.19703 3.51047
1.00000 0.52824 4.20787 3.51023
1.00000 0.52824 4.21872 3.51027
1.00000 0.52824 4.22957 3.51005
1.00000 0.52824 4.24041 3.51030
1.00000 0.52824 4.25125 3.50982
1.00000 0.52824 4.26210 3.50996
1.00000 0.52823 4.27294 3.50995
1.00000 0.52823 4.28379 3.50984
1.00000 0.52823 4.29463 3.50982
1.00000 0.52823 4.30548 3.50958
1.00000 0.52823 4.31632 3.50977
1.00000 0.52823 4.32717 3.50937
1.00000 0.52823 4.33801 3.50911
1.00000 0.52823 4.34886 3.50876
1.00000 0.52822 4.35970 3.50872
1.00000 0.52822 4.37055 3.50846
1.00000 0.52822 4.38139 3.50849
1.00000 0.52822 4.39224 3.50842
1.00000 0.52822 4.40308 3.50806
1.00000 0.52822 4.41392 3.50786
1.00000 0.52822 4.42477 3.50739
1.00000 0.52822 4.43561 3.50703
1.00000 0.52821 4.44646 3.50685
1.00000 0.52821 4.45730 3.50657
1.00000 0.52821 4.46815 3.50581
1.00000 0.52821 4.47899 3.50577
1.00000 0.52821 4.48984 3.50497
1.00000 0.52821 4.50068 3.50460
1.00000 0.52821 4.51153 3.50396
1.00000 0.52821 4.52237 3.50319
1.00000 0.52820 4.53322 3.50262
1.00000 0.52820 4.54406 3.50217
1.00000 0.52820 4.55491 3.50153
1.00000 0.52820 4.56575 3.50075
1.00000 0.52820 4.57660 3.50004
1.00000 0.52819 4.58744 3.49926
1.00000 0.52819 4.59828 3.49856
1.00000 0.52819 4.60913 3.49741
1.00000 0.52819 4.61997 3.49640
1.00000 0.52819 4.63082 3.49538
1.00000 0.52819 4.64166 3.49409
1.00000 0.52818 4.65251 3.49261
1.00000 0.52818 4.66335 3.49157
1.00000 0.52818 4.67420 3.48969
1.00000 0.52818 4.68504 3.48835
1.00000 0.52818 4.69589 3.48632
1.00000 0.52817 4.70673 3.48444
1.00000 0.52817 4.71758 3.48250
1.00000 0.52817 4.72842 3.48065
1.00000 0.52817 4.73927 3.47806
1.00000 0.52817 4.75011 3.47536
1.00000 0.52817 4.76096 3.47307
1.00000 0.52816 4.77180 3.46997
1.00000 0.52816 4.78264 3.46715
1.00000 0.52816 4.79349 3.46414
1.00000 0.52816 4.80433 3.46031
