# M_inicial  M_final  log_T_eff  log_L
1.00000 0.52816 4.81518 3.45682
1.00000 0.52815 4.82602 3.45225
1.00000 0.52815 4.83687 3.44819
1.00000 0.52815 4.84771 3.44309
1.00000 0.52815 4.85856 3.43775
1.00000 0.52814 4.86940 3.43211
1.00000 0.52814 4.88025 3.42632
1.00000 0.52814 4.89109 3.41972
1.00000 0.52814 4.90194 3.41259
1.00000 0.52814 4.91278 3.40462
1.00000 0.52814 4.92363 3.39622
1.00000 0.52813 4.93447 3.38669
1.00000 0.52813 4.94350 3.37795
1.00000 0.52813 4.95195 3.36921
1.00000 0.52813 4.95921 3.36047
1.00000 0.52813 4.96666 3.35173
1.00000 0.52813 4.97329 3.34299
1.00000 0.52812 4.97947 3.33425
1.00000 0.52812 4.98514 3.32551
1.00000 0.52812 4.99029 3.31677
1.00000 0.52812 4.99535 3.30802
1.00000 0.52812 5.00010 3.29928
1.00000 0.52812 5.00463 3.29054
1.00000 0.52812 5.00878 3.28180
1.00000 0.52812 5.01237 3.27306
1.00000 0.52812 5.01594 3.26432
1.00000 0.52812 5.01822 3.25558
1.00000 0.52812 5.02129 3.24684
1.00000 0.52812 5.02417 3.23810
1.00000 0.52812 5.02686 3.22936
1.00000 0.52812 5.02947 3.22062
1.00000 0.52812 5.03208 3.21188
1.00000 0.52812 5.03430 3.20314
1.00000 0.52812 5.03643 3.19440
1.00000 0.52812 5.03811 3.18565
1.00000 0.52811 5.04032 3.17691
1.00000 0.52811 5.04204 3.16817
1.00000 0.52811 5.04357 3.15943
1.00000 0.52811 5.04500 3.15069
1.00000 0.52811 5.04697 3.14195
1.00000 0.52811 5.04824 3.13321
1.00000 0.52811 5.04932 3.12447
1.00000 0.52811 5.05049 3.11573
1.00000 0.52811 5.05154 3.10699
1.00000 0.52811 5.05255 3.09825
1.00000 0.52811 5.05348 3.08951
1.00000 0.52811 5.05420 3.08077
1.00000 0.52811 5.05512 3.07203
1.00000 0.52811 5.05561 3.06329
1.00000 0.52811 5.05619 3.05454
1.00000 0.52811 5.05681 3.04580
1.00000 0.52811 5.05737 3.03706
1.00000 0.52811 5.05784 3.02832
1.00000 0.52811 5.05831 3.01958
1.00000 0.52811 5.05855 3.01084
1.00000 0.52811 5.05879 3.00210
1.00000 0.52811 5.05900 2.99336
1.00000 0.52811 5.05893 2.98462
1.00000 0.52811 5.05918 2.97588
1.00000 0.52811 5.05925 2.96714
1.00000 0.52811 5.05931 2.95840
1.00000 0.52811 5.05941 2.94966
1.00000 0.52811 5.05907 2.92016
1.00000 0.52811 5.05855 2.89066
1.00000 0.52811 5.05747 2.86117
1.00000 0.52811 5.05605 2.83167
1.00000 0.52811 5.05440 2.80217
1.00000 0.52811 5.05247 2.77268
1.00000 0.52811 5.05036 2.74318
1.00000 0.52811 5.04801 2.71368
1.00000 0.52811 5.04537 2.68419
1.00000 0.52811 5.04261 2.65469
1.00000 0.52811 5.03965 2.62519
1.00000 0.52811 5.03664 2.59570
1.00000 0.52811 5.03354 2.56620
1.00000 0.52811 5.03043 2.53670
1.00000 0.52811 5.02727 2.50721
1.00000 0.52811 5.02422 2.47771
1.00000 0.52811 5.02130 2.44821
1.00000 0.52811 5.01847 2.41872
1.00000 0.52811 5.01690 2.38922
1.00000 0.52811 5.01460 2.35973
1.00000 0.52811 5.01246 2.33023
1.00000 0.52811 5.01029 2.30073
1.00000 0.52811 5.00615 2.27123
1.00000 0.52811 5.00200 2.24174
1.00000 0.52811 4.99808 2.21224
1.00000 0.52811 4.99434 2.18275
1.00000 0.52811 4.99073 2.15325
1.00000 0.52811 4.98702 2.12375
1.00000 0.52811 4.98337 2.09426
1.00000 0.52811 4.97964 2.06476
1.00000 0.52811 4.97586 2.03526
1.00000 0.52811 4.97198 2.00577
1.00000 0.52811 4.96805 1.97627
1.00000 0.52811 4.96405 1.94677
1.00000 0.52810 4.96001 1.91728
1.00000 0.52810 4.95594 1.88778
1.00000 0.52810 4.95182 1.85828
1.00000 0.52810 4.94764 1.82879
1.00000 0.52810 4.94409 1.79929
1.00000 0.52810 4.94087 1.76979
1.00000 0.52810 4.93714 1.74030
1.00000 0.52810 4.93328 1.71080
1.00000 0.52810 4.92933 1.68130
1.00000 0.52810 4.92528 1.65181
1.00000 0.52810 4.92113 1.62231
1.00000 0.52810 4.91693 1.59281
1.00000 0.52810 4.91260 1.56332
1.00000 0.52810 4.90828 1.53382
1.00000 0.52810 4.90391 1.50432
1.00000 0.52810 4.89951 1.47483
1.00000 0.52810 4.89505 1.44533
1.00000 0.52810 4.89055 1.41583
1.00000 0.52810 4.88601 1.38634
1.00000 0.52810 4.88143 1.35684
1.00000 0.52810 4.87681 1.32734
1.00000 0.52810 4.87216 1.29785
1.00000 0.52810 4.86746 1.26835
1.00000 0.52810 4.86272 1.23886
1.00000 0.52810 4.85791 1.20936
1.00000 0.52810 4.85307 1.17986
1.00000 0.52810 4.84820 1.15037
1.00000 0.52810 4.84330 1.12087
1.00000 0.52810 4.83837 1.09137
1.00000 0.52810 4.83341 1.06188
1.00000 0.52810 4.82843 1.03238
1.00000 0.52810 4.82341 1.00288
1.00000 0.52810 4.81835 0.97339
1.00000 0.52810 4.81326 0.94389
1.00000 0.52810 4.80814 0.91439
1.00000 0.52810 4.80297 0.88490
1.00000 0.52810 4.79778 0.85540
1.00000 0.52810 4.79254 0.82590
1.00000 0.52810 4.78726 0.79641
1.00000 0.52810 4.78195 0.76691
1.00000 0.52810 4.77660 0.73741
1.00000 0.52810 4.77120 0.70792
1.00000 0.52810 4.76577 0.67842
1.00000 0.52810 4.76028 0.64892
1.00000 0.52810 4.75472 0.61943
1.00000 0.52810 4.74913 0.58993
1.00000 0.52810 4.74353 0.56044
1.00000 0.52810 4.73789 0.53094
1.00000 0.52810 4.73222 0.50144
1.00000 0.52810 4.72652 0.47195
1.00000 0.52810 4.72079 0.44245
1.00000 0.52810 4.71503 0.41295
1.00000 0.52810 4.70924 0.38345
1.00000 0.52810 4.70342 0.35396
1.00000 0.52810 4.69757 0.32446
1.00000 0.52810 4.69170 0.29497
1.00000 0.52810 4.68579 0.26547
1.00000 0.52810 4.67985 0.23597
1.00000 0.52810 4.67388 0.20648
1.00000 0.52810 4.66785 0.17698
1.00000 0.52810 4.66181 0.14748
1.00000 0.52810 4.65575 0.11799
1.00000 0.52810 4.64966 0.08849
1.00000 0.52810 4.64357 0.05899
1.00000 0.52810 4.63746 0.02950
1.00000 0.52810 4.63135 0.00000
