Massa_inicial Massa_final log_T_eff log_L
7.000000 0.940000 3.900000 4.419000
7.000000 0.940000 4.000000 4.414000
7.000000 0.940000 4.102000 4.412000
7.000000 0.940000 4.231000 4.412000
7.000000 0.940000 4.401000 4.412000
7.000000 0.940000 4.560000 4.412000
7.000000 0.940000 4.674000 4.411000
7.000000 0.940000 4.775000 4.411000
7.000000 0.940000 4.880000 4.410000
7.000000 0.940000 4.990000 4.408000
7.000000 0.940000 5.091000 4.405000
7.000000 0.940000 5.200000 4.400000
7.000000 0.940000 5.306000 4.391000
7.000000 0.940000 5.408000 4.375000
7.000000 0.940000 5.510000 4.338000
7.000000 0.940000 5.598000 4.237000
7.000000 0.940000 5.619000 4.090000
7.000000 0.940000 5.617000 4.026000
7.000000 0.940000 5.605000 3.902000
7.000000 0.940000 5.590000 3.802000
7.000000 0.940000 5.572000 3.694000
7.000000 0.940000 5.552000 3.588000
7.000000 0.940000 5.530000 3.476000
7.000000 0.940000 5.508000 3.364000
7.000000 0.940000 5.487000 3.263000
7.000000 0.940000 5.465000 3.160000
7.000000 0.940000 5.444000 3.059000
7.000000 0.940000 5.423000 2.959000
7.000000 0.940000 5.403000 2.858000
7.000000 0.940000 5.383000 2.757000
7.000000 0.940000 5.364000 2.657000
7.000000 0.940000 5.344000 2.557000
7.000000 0.940000 5.324000 2.457000
7.000000 0.940000 5.305000 2.356000
7.000000 0.940000 5.286000 2.255000
7.000000 0.940000 5.266000 2.154000
7.000000 0.940000 5.246000 2.054000
7.000000 0.940000 5.226000 1.953000
7.000000 0.940000 5.206000 1.853000
7.000000 0.940000 5.185000 1.753000
7.000000 0.940000 5.163000 1.653000
7.000000 0.940000 5.141000 1.553000
7.000000 0.940000 5.120000 1.452000
7.000000 0.940000 5.097000 1.351000
7.000000 0.940000 5.075000 1.250000
7.000000 0.940000 5.052000 1.150000
7.000000 0.940000 5.029000 1.049000
7.000000 0.940000 5.006000 0.949000
7.000000 0.940000 4.983000 0.849000
7.000000 0.940000 4.959000 0.745000
7.000000 0.940000 4.936000 0.642000
7.000000 0.940000 4.912000 0.541000
7.000000 0.940000 4.888000 0.439000
7.000000 0.940000 4.864000 0.338000
7.000000 0.940000 4.840000 0.238000
7.000000 0.940000 4.817000 0.137000
7.000000 0.940000 4.793000 0.036000
7.000000 0.940000 4.768000 -0.065000
7.000000 0.940000 4.745000 -0.165000
7.000000 0.940000 4.721000 -0.265000
7.000000 0.940000 4.696000 -0.366000
7.000000 0.940000 4.672000 -0.466000
7.000000 0.940000 4.648000 -0.567000
7.000000 0.940000 4.624000 -0.667000
7.000000 0.940000 4.600000 -0.767000
7.000000 0.940000 4.576000 -0.868000
7.000000 0.940000 4.551000 -0.968000
7.000000 0.940000 4.527000 -1.068000
7.000000 0.940000 4.502000 -1.170000
7.000000 0.940000 4.478000 -1.270000
7.000000 0.940000 4.453000 -1.371000
7.000000 0.940000 4.429000 -1.471000
7.000000 0.940000 4.404000 -1.571000
7.000000 0.940000 4.380000 -1.671000
7.000000 0.940000 4.355000 -1.771000
7.000000 0.940000 4.330000 -1.871000
7.000000 0.940000 4.306000 -1.972000
